Liens,Largest Contentful Paint (LCP),First Input Delay (FID),Cumulative Layout Shift (CLS),First Contentful Paint (FCP),Interaction to Next Paint (INP)INP est un outil de signal Web essentiel en attente qui remplacera le FID en mars 2024. En savoir plus,Time to First Byte (TTFB),Bonnes pratiques,SEO,Performances,Accessibilité
https://manouvellevie.groupama.fr/nos-simulateurs/simulation-retraite,"2,2 s",23 ms,"0,67","2,2 s",324 ms,"1,5 s",68,89,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/combien-de-trimestre-pour-la-retraite,"2,2 s",19 ms,"0,06","1,9 s",237 ms,"0,9 s",73,88,54,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-nouvelle-loi,"2,4 s",16 ms,"0,06","1,9 s",197 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/apprentissage-trimestres-retraite,2 s,Span Ykn2A introuvable,0,"1,6 s",215 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/minimum-vieillesse-aspa-montant,"2,3 s",20 ms,"0,06","1,8 s",238 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-progressive-avantages-inconvenients-pieges,"2,2 s",19 ms,"0,05","1,8 s",245 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/en-profiter/comprendre-revenus-retraite/revalorisation-retraite,"2,4 s",19 ms,"0,06","1,9 s",249 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/depart-anticipe-pour-carriere-longue,"2,8 s",18 ms,0,"2,5 s",190 ms,"1,6 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/calcul-simulateur-indemnite-prime-depart-retraite,"2,7 s",18 ms,"0,06","1,9 s",197 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-remariage,"2,2 s",17 ms,0,"1,9 s",213 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/retraite-moyenne-france,"2,3 s",18 ms,"0,05","1,8 s",214 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/enfants-retraite/comment-savoir-si-j-ai-mes-8-trimestres,2 s,17 ms,0,"1,7 s",210 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/en-profiter/continuer-travailler-retraite-cumul-emploi-retraite/comment-cumuler-activite-professionnelle-et-retraite,"2,1 s",19 ms,0,"1,8 s",301 ms,"0,9 s",73,89,,89
https://manouvellevie.groupama.fr/s-informer-retraite/handicap-inaptitude-travail-invalidite-retraite/retraite-invalidite-pension,"1,7 s",18 ms,0,"1,7 s",210 ms,"0,9 s",73,89,50,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/quel-montant-minimum-retraite-jamais-travaille,"2,5 s",19 ms,"0,06","1,8 s",210 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/qui-est-concerne,"2,3 s",19 ms,"0,06","1,9 s",185 ms,1 s,73,89,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/calcul-retraite-brut-net,2 s,19 ms,0,"1,7 s",216 ms,"0,9 s",77,,89,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-60ans,"2,3 s",21 ms,"0,06","1,7 s",191 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/trop-trimestres-valides,"1,9 s",Span Ykn2A introuvable,0,"1,7 s",Span Ykn2A introuvable,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/s-informer-retraite/retraite-femme/quelle-retraite-pour-femme-jamais-travaille,"2,4 s",18 ms,"0,06","1,9 s",269 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/calcul-retraite-prive,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-enseignant,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,86,
https://manouvellevie.groupama.fr/nos-simulateurs/simulation-per,"2,1 s",21 ms,"0,57","2,1 s",543 ms,"1,3 s",68,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/clause-du-grand-pere-reforme-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/reforme-des-retraites/qui-sera-concerne-par-la-retraite-minimale-de-1200-euros,"2,3 s",19 ms,0,"1,9 s",257 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/succession-transmission-patrimoine/droit-frais-notaire-succession-heritage,"3,4 s",17 ms,0,3 s,203 ms,"1,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/qui-sera-concerne-par-la-retraite-minimale-de-1200-euros,"2,3 s",19 ms,0,"1,9 s",257 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/pre-retraite-quel-age,"1,9 s",19 ms,0,"1,8 s",210 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/cumul-emploi-retraite-carriere-longue,"2,3 s",18 ms,"0,06","1,8 s",200 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/combien-de-trimestres-faut-il-valider-en-fonction-de-mon-annee-de-naissance,"2,9 s",18 ms,"0,06","2,3 s",221 ms,"1,3 s",73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/combien-de-trimestre-pour-la-retraite,"2,2 s",19 ms,"0,06","1,9 s",237 ms,"0,9 s",77,,79,
https://manouvellevie.groupama.fr/reforme-des-retraites/apprentissage-trimestres-retraite,2 s,Span Ykn2A introuvable,0,"1,6 s",215 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-gendarmerie,"2,2 s",17 ms,0,"1,9 s",203 ms,"0,9 s",77,,81,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/aides-petites-retraites,2 s,18 ms,"0,06","1,7 s",180 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/calcul-pension-reversion,"2,4 s",18 ms,"0,06","1,6 s",217 ms,"0,8 s",77,,74,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/plafond-pension-reversion,"2,1 s",Span Ykn2A introuvable,"0,06","1,6 s",228 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/penibilite-reforme-retraite,2 s,17 ms,0,"1,7 s",222 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/completer-retraite-solutions-epargne-retraite/rachat-partiel-assurance-vie-fiscalite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-fonctionnaire,"1,9 s",19 ms,0,"1,5 s",206 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/reforme-des-retraites/clause-du-grand-pere-reforme-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/bareme-rachat-trimestre-retraite,2 s,Span Ykn2A introuvable,0,"1,5 s",154 ms,"0,9 s",77,,89,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/documents-preparer-retraite/trimestre-cotise-assimile-majoration-retraite,"1,9 s",18 ms,"0,06","1,7 s",188 ms,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/modele-lettre-depart-retraite-volontaire,"2,2 s",18 ms,"0,04","1,8 s",251 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/retraite-base-complementaire/bonus-malus-retraite-complementaire-agirc-arrco,"1,8 s",19 ms,0,"1,8 s",198 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/retraite-moyenne-france,"2,3 s",18 ms,"0,05","1,8 s",214 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/compte-penibilite-retraite,"2,3 s",17 ms,"0,06","1,8 s",221 ms,"0,9 s",77,,77,
https://manouvellevie.groupama.fr/,2 s,16 ms,"0,05","1,6 s",211 ms,"0,8 s",73,89,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/compte-penibilite-point-critere-retraite-anticipee,"2,3 s",17 ms,"0,06","1,8 s",221 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/calcul-retraite-fonctionnaire,"2,1 s",22 ms,"0,06","1,7 s",172 ms,"0,9 s",77,,87,
https://manouvellevie.groupama.fr/minimum-vieillesse-aspa-2021-minimum-contributif,"2,3 s",20 ms,"0,06","1,8 s",238 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/reforme-retraite-calcul-decote-retraite,3 s,Span Ykn2A introuvable,"0,07","2,7 s",Span Ykn2A introuvable,"1,6 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-preparer-retraite/justificatif-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-allocation-veuvage-invalidite,"2,7 s",17 ms,"0,06",2 s,239 ms,"0,9 s",77,,86,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/trimestre-retenus-carriere-longue,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,89,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/calcul-pension-reversion-montant-plafond,"2,4 s",18 ms,"0,06","1,6 s",217 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/plafond-securite-sociale-retraite-pass,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/quel-est-le-montant-minimum-retraite-jamais-travaille,"2,5 s",19 ms,"0,06","1,8 s",210 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/csg-retraite-taux-bareme-exoneration-plafond,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,50,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-anticipee,"2,5 s",18 ms,"0,06","1,9 s",207 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/quel-mois-ideal-pour-partir-a-la-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,84,
https://manouvellevie.groupama.fr/s-informer-retraite/contrats-travail-temps-partiel-retraite/retraite-et-temps-partiel,"2,5 s",19 ms,"0,06","1,8 s",231 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/calendrier-projet-reforme-retraites,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/prendre-sa-retraite-sans-avoir-tous-ses-trimestres,"2,4 s",19 ms,"0,05",2 s,256 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/carrieres-multiples-a-l-etranger-interruption-activite/rupture-conventionnelle-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,84,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/calcul-bonification-retraite-fonctionnaire,"2,7 s",22 ms,"0,07","2,2 s",209 ms,"1,1 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/completer-retraite-solutions-epargne-retraite/peut-on-avoir-plusieurs-per,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/quelle-retraite-pour-un-salaire-de-2000e,"2,1 s",18 ms,0,"1,8 s",238 ms,"0,9 s",73,88,58,
https://manouvellevie.groupama.fr/nos-simulateurs/calcul-pension-reversion,"1,4 s",Span Ykn2A introuvable,"0,67","1,4 s",275 ms,"0,9 s",77,,,
https://manouvellevie.groupama.fr/se-preparer/completer-retraite-solutions-epargne-retraite/preparer-sa-retraite-financierement,2 s,Span Ykn2A introuvable,0,"1,9 s",Span Ykn2A introuvable,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/mon-mes-enfants-quel-avantage-pour-ma-retraite,"1,6 s",Span Ykn2A introuvable,"0,27","1,5 s",Span Ykn2A introuvable,"0,9 s",73,79,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/age-depart-retraite,"2,3 s",18 ms,"0,06","1,7 s",228 ms,"0,9 s",73,,87,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/pension-reversion-reforme-retraite,"2,4 s",16 ms,"0,06","1,9 s",197 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/trimestre-cotise-trimestre-assimile-trimestre-majoration,"1,9 s",18 ms,"0,06","1,7 s",188 ms,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/calendrier-reforme-retraites,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/taux-remplacement-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,56,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/trimestre-retenus-carriere-longue,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,77,
https://manouvellevie.groupama.fr/en-profiter/comprendre-revenus-retraite/impot-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,89,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-militaire,"2,6 s",18 ms,"0,05",2 s,221 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/retraite-femme-au-foyer-mere-de-famille-jamais-travaille-podcast-alexandra,"2,4 s",18 ms,"0,06","1,9 s",269 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/retraite-a-taux-plein,"2,1 s",16 ms,0,"1,9 s",247 ms,"0,9 s",68,88,,
https://manouvellevie.groupama.fr/en-profiter/activites-retraite-profiter-nouvelle-vie/que-faire-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-progressive,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,89,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/demande-pension-reversion-agirc-arrco,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/demande-pension-reversion-agirc-arrco,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/carrieres-multiples-a-l-etranger-interruption-activite/arret-maladie-avant-retraite,"1,8 s",17 ms,0,"1,7 s",224 ms,"0,9 s",73,88,57,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/aides-petite-retraite,2 s,18 ms,"0,06","1,7 s",180 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/calculer-sa-retraite,"2,3 s",18 ms,"0,06","1,7 s",228 ms,"0,9 s",68,89,55,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/simulateur-estimation-retraite,"2,2 s",23 ms,"0,67","2,2 s",324 ms,"1,5 s",68,89,,
https://manouvellevie.groupama.fr/prendre-soin-de-sa-sante/retraite-mi-temps-therapeutique,"1,8 s",19 ms,"0,06","1,7 s",207 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/systeme-retraite-francais/exemple-calcul-retraite,"2,1 s",22 ms,"0,06","1,7 s",172 ms,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/reforme-des-retraites/comment-obtenir-des-trimestres-gratuitement,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/revalorisation-retraite,"2,4 s",19 ms,"0,06","1,9 s",249 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/reforme-cumul-emploi-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/retraite-brut-net-calculer-difference-simulation,2 s,19 ms,0,"1,7 s",216 ms,"0,9 s",73,88,54,
https://manouvellevie.groupama.fr/s-informer-retraite/handicap-inaptitude-travail-invalidite-retraite/mi-temps-therapeutique-retraite,"1,8 s",19 ms,"0,06","1,7 s",207 ms,"0,9 s",73,88,51,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/comment-obtenir-des-trimestres-gratuitement,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/carrieres-multiples-a-l-etranger-interruption-activite/maladie-professionnelle-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/se-preparer/completer-retraite-solutions-epargne-retraite/plan-epargne-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-agricole-montant-taux-plein,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-agricole-montant-taux-plein,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/travailler-a-la-retraite-c-est-possible/comment-cumuler-activite-professionnelle-et-retraite,"2,1 s",19 ms,0,"1,8 s",301 ms,"0,9 s",73,89,,89
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/exemple-calcul-retraite-complementaire-arrco-agirc,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/attestation-carriere-longue,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/nos-simulateurs/simulateur-epargne,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,55,
https://manouvellevie.groupama.fr/epargner-pour-la-retraite-c-est-tout-un-art/plafond-epargne-retraite-impot-deduction-simulation,"2,1 s",21 ms,"0,57","2,1 s",543 ms,"1,3 s",77,,50,
